,Colombia,Dominican Republic,El Salvador,Guatemala,Honduras,India,Uganda,Brazil,Ethiopia,Brazil.1,India.1,Togo,Uganda.1
0,69.52,66.06,50.56,54.58,50.35,66.75,15.29,54.32,61.09,34.85,44.35,29.23,7.54
1,67.13,62.64,44.54,57.53,56.12,61.53,29.64,43.99,68.19,27.49,40.65,28.64,11.84
2,54.57,46.56,30.91,40.23,40.14,53.96,20.0,45.2,61.21,27.59,39.77,29.83,8.95
3,50.12,53.12,35.35,41.43,37.54,57.92,25.02,52.88,61.72,35.54,44.21,22.64,11.77
4,85.99,112.26,99.26,75.32,81.57,78.41,75.5,114.57,109.55,85.43,56.46,25.99,41.66
5,99.62,109.26,100.51,99.34,102.55,84.72,68.26,115.52,115.02,97.5,66.53,61.41,59.79
6,93.56,87.67,75.02,83.77,67.66,78.32,53.0,96.35,67.74,69.78,56.67,62.58,37.44
7,133.17,166.41,125.14,97.25,116.88,130.18,80.31,145.41,91.06,77.86,76.3,44.89,41.69
8,102.08,95.25,85.05,102.45,93.26,99.47,78.75,105.25,91.86,77.75,75.62,49.93,40.02
9,86.38,74.18,56.92,79.24,61.48,67.44,46.56,74.07,65.64,56.93,57.61,43.22,31.52
10,74.96,68.01,44.55,70.37,54.29,63.75,41.0,65.98,56.42,41.53,35.87,22.92,19.92
11,57.95,42.04,17.63,45.35,34.32,43.82,27.51,37.05,43.78,19.35,23.44,15.32,10.57
12,52.57,50.83,21.84,49.61,37.06,39.61,27.52,30.91,26.88,19.99,22.08,18.27,12.78
13,48.34,49.57,25.69,48.42,41.71,43.45,28.64,42.82,34.57,31.61,28.6,22.77,20.81
14,60.83,75.7,39.3,66.91,50.22,58.32,35.99,56.33,48.85,34.85,30.8,21.91,26.26
15,89.22,87.92,67.1,92.46,78.69,96.53,57.86,87.09,64.23,46.47,52.42,27.92,40.82
16,89.81,86.29,67.49,91.19,80.82,95.86,55.34,87.02,58.32,62.03,61.35,44.72,47.02
17,100.05,87.13,75.24,98.31,81.63,108.03,65.01,98.3,69.83,78.94,79.38,56.72,55.88
18,114.22,101.45,86.05,111.03,90.56,121.7,73.32,109.26,71.71,91.58,96.12,76.94,71.09
19,138.96,106.04,79.19,109.64,83.72,136.89,60.54,100.8,77.06,73.42,73.13,44.71,49.03
20,180.55,139.13,109.88,144.77,125.16,151.08,87.23,134.0,85.46,74.22,77.96,42.36,55.61
21,239.68,191.07,186.74,212.41,200.02,228.46,147.03,224.26,145.46,105.29,109.6,74.14,73.54
22,166.69,147.81,120.12,165.98,141.15,161.98,93.68,152.29,102.79,104.4,104.65,68.5,71.8
23,113.91,140.98,95.28,127.06,101.8,117.06,70.03,102.14,73.3,85.29,94.88,66.56,67.71
24,159.71,183.56,117.01,152.83,118.94,175.65,103.7,134.7,83.24,81.16,104.63,59.88,70.18
25,119.4,171.01,87.45,139.22,110.97,157.1,81.27,104.49,76.03,73.53,87.95,59.55,60.22
26,123.56,177.19,89.53,135.47,93.17,132.21,71.09,107.83,87.31,92.78,82.71,65.73,59.41
27,125.76,173.36,87.62,134.12,90.77,135.75,77.0,110.48,81.51,98.21,94.97,68.73,63.95
28,113.52,153.61,74.53,122.18,84.04,110.12,68.25,90.78,70.68,67.42,78.48,70.93,57.23
